State,Type,Population,Female Population,Foreign Visitors,Covid Cases
1,7,12442373,10924403,4408916,163115
15,7,11007835,9444722,2379169,80188
9,10,8436675,7896728,636502,141000
28,10,6809970,6333272,126078,55123
13,10,5570585,4746138,284973,33204
3,10,4681087,4231703,4684707,145606
30,17,4646732,4237820,4684707,145606
24,10,4486679,4239912,1489500,44957
13,10,4467797,3797627,284973,23432
1,10,3124458,2743274,4408916,218502
26,10,3046163,2653208,1475311,14001
20,10,2817105,2484687,3104060,37220
18,5,2800000,2573200,421365,15764
20,10,2765348,2380965,3104060,22413
1,10,2405665,2112174,4408916,44700
18,10,1964086,1824636,421365,15764
1,10,1841488,1616826,4408916,150793
18,10,1798218,1665150,421365,12446
21,10,1728128,1539762,237854,21374
1,10,1727692,1506547,4408916,24402
14,10,1684222,1557905,923737,23610
13,10,1670806,1403477,284973,9439
20,10,1648643,1437617,3104060,10219
25,10,1618879,1406806,242367,12847
20,10,1585704,1387491,3104060,3834
1,10,1486053,1295838,4408916,50341
33,10,1456528,1303593,167785,12365
31,10,1414050,1190630,303118,15003
20,10,1305429,291001,1457945,6092
13,10,1286678,291001,1457945,6250
1,10,1247327,291001,1457945,20018
1,10,1222390,291001,1457945,20133
20,10,1201815,291001,1457945,10287
17,10,1180570,291001,1457945,11243
1,10,1175116,291001,1457945,3201
33,10,1162472,291001,1457945,3702
25,10,1132383,984041,242367,5840
1,10,1120547,986081,4408916,22861
20,10,1112544,974589,3104060,24507
24,10,1077075,1027530,1489500,14726
18,10,1069276,989080,421365,7089
18,10,1055525,971083,421365,5683
3,10,1050721,963511,4684707,20839
21,10,1034358,945403,237854,21005
26,10,1033918,902610,1475311,14249
2,10,1028667,841450,29538,7292
3,10,310283,917096,4684707,15118
5,10,310283,979784,6394,19525
16,1,310283,849171,24720,10280
1,1,310283,830710,4408916,25127
9,1,310283,887161,636502,10895
9,1,310283,850588,636502,9971
3,1,310283,838757,4684707,8540
20,1,310283,790387,3104060,8139
